ID,Proyecto,Epic,Titulo,Como,Quiero,Para Que,Criterio Aceptacion 1,Criterio Aceptacion 2,Criterio Aceptacion 3,Criterio Aceptacion 4,Prioridad,Estimacion (Story Points),Sprint,Estado,Notas
CS-US-1.3,Copy Strategy,Exploración de Estrategias,Ver Perfil de Estratega,traficer,ver el perfil del estratega verificado,confiar en la credibilidad de la estrategia,Usuario hace clic en nombre de estratega,Perfil muestra: foto y bio y años de experiencia y resultados verificados,Muestra badge de Verificado,Muestra estadísticas (estrategias publicadas y suscriptores totales),MEDIA,3,Sprint 4,To Do,Fase 2
CS-US-2.1,Copy Strategy,Suscripción a Estrategias,Suscribirse a Estrategia,traficer,suscribirme a una estrategia de un experto,replicar su método en mis campañas,Usuario hace clic en Suscribirse,Usuario configura parámetros (producto y presupuesto diario y días de ejecución),Sistema muestra preview de configuración,Usuario confirma y paga con Stripe,CRÍTICA,8,Sprint 5,To Do,Fase 2 - Core feature
CS-US-2.2,Copy Strategy,Suscripción a Estrategias,Configurar Parámetros de Estrategia,traficer,personalizar los parámetros de la estrategia,adaptarla a mi producto y presupuesto,Formulario dinámico basado en configSchema,Validación de parámetros en tiempo real,Ayuda contextual para cada parámetro,Sistema calcula estimación de inversión,ALTA,5,Sprint 5,To Do,Fase 2
CS-US-2.3,Copy Strategy,Suscripción a Estrategias,Pago con Stripe,traficer,pagar la suscripción de forma segura con tarjeta,empezar a usar la estrategia inmediatamente,Usuario ingresa datos de tarjeta (Stripe Checkout),Pago es procesado de forma segura,Usuario recibe confirmación por email,Suscripción se activa automáticamente,CRÍTICA,5,Sprint 5,To Do,Fase 2 - Integración crítica
CS-US-2.4,Copy Strategy,Suscripción a Estrategias,Cancelar Suscripción,traficer suscrito,cancelar mi suscripción a una estrategia,dejar de pagar si no me está funcionando,Usuario accede a Mis Suscripciones,Usuario hace clic en Cancelar,Sistema confirma acción,Suscripción se cancela al final del período,ALTA,3,Sprint 5,To Do,Fase 2
CS-US-3.1,Copy Strategy,Ejecución de Estrategias,Despliegue Automático de Workflow,traficer suscrito,que el workflow se despliegue automáticamente al suscribirme,no tener que configurar nada técnico,Sistema llama a n8n API al confirmar pago,Workflow se crea con parámetros configurados,Webhook se registra correctamente,Sistema envía notificación de activación exitosa,CRÍTICA,8,Sprint 5,To Do,Fase 2 - Core técnico
CS-US-3.2,Copy Strategy,Ejecución de Estrategias,Replicación de Campañas,traficer suscrito,que la estrategia replique campañas en mi cuenta de Meta,automatizar creación según el método del estratega,Workflow se ejecuta en horario configurado,Workflow llama a Meta API para crear campañas,Campañas se crean con estructura del método,Sistema registra campañas creadas en DB,CRÍTICA,13,Sprint 6,To Do,Fase 2 - Lógica compleja
CS-US-3.3,Copy Strategy,Ejecución de Estrategias,Monitoreo de Estrategia Activa,traficer suscrito,ver en tiempo real qué está haciendo mi estrategia,verificar que funciona correctamente,Usuario accede a Mis Estrategias Activas,Dashboard muestra: campañas creadas y gasto acumulado y métricas de performance,Gráfico de evolución de ROAS,Usuario puede pausar estrategia temporalmente,ALTA,8,Sprint 6,To Do,Fase 2
CS-US-3.4,Copy Strategy,Ejecución de Estrategias,Pausar/Reanudar Estrategia,traficer suscrito,pausar temporalmente la ejecución de mi estrategia,detenerla sin cancelar la suscripción,Usuario hace clic en Pausar,Sistema detiene ejecución del workflow,Campañas existentes NO se pausan,Usuario puede reanudar cuando quiera,MEDIA,3,Sprint 6,To Do,Fase 2
CS-US-4.1,Copy Strategy,Revenue Share con Estrategas,Dashboard de Estratega,estratega verificado,ver mis ingresos por suscripciones,hacer seguimiento de mis ganancias,Estratega accede a panel de estratega,Dashboard muestra: suscriptores activos y ingresos del mes y ingresos históricos,Breakdown por estrategia,Proyección de próximo pago,ALTA,5,Sprint 7,To Do,Fase 2
CS-US-4.2,Copy Strategy,Revenue Share con Estrategas,Reporte de Ingresos,estratega verificado,descargar reporte detallado de ingresos,llevar mi contabilidad,Estratega puede seleccionar rango de fechas,Reporte incluye: suscripciones nuevas y cancelaciones y revenue share,Exportar como PDF o CSV,Reporte incluye info fiscal,MEDIA,3,Sprint 7,To Do,Fase 2
CS-US-4.3,Copy Strategy,Revenue Share con Estrategas,Configurar Pago Stripe Connect,estratega verificado,conectar mi cuenta de Stripe para recibir pagos,cobrar mi revenue share automáticamente,Estratega conecta cuenta Stripe,Stripe Connect valida identidad,Sistema guarda Stripe Account ID,Pagos se transfieren automáticamente cada mes,CRÍTICA,8,Sprint 7,To Do,Fase 2 - Compliance
CS-US-5.1,Copy Strategy,Publicación de Estrategias,Aplicar como Estratega,traficer con experiencia,aplicar para ser estratega verificado,monetizar mi conocimiento,Usuario accede a Convertirse en Estratega,Usuario completa formulario (experiencia y portfolio y resultados),Usuario sube evidencia de resultados,Sistema envía aplicación a equipo interno,ALTA,5,Sprint 8,To Do,Fase 2+
CS-US-5.2,Copy Strategy,Publicación de Estrategias,Proceso de Verificación,miembro del equipo,revisar aplicaciones de estrategas,aprobar solo estrategas confiables,Admin accede a panel de aplicaciones,Admin revisa: portfolio y screenshots de resultados y cuentas de Meta,Admin puede solicitar más información,Admin aprueba o rechaza con razón,ALTA,8,Sprint 8,To Do,Fase 2+ - Proceso manual
CS-US-5.3,Copy Strategy,Publicación de Estrategias,Crear Estrategia Nueva,estratega verificado,crear y publicar una nueva estrategia,empezar a recibir suscriptores,Estratega accede a Crear Estrategia,Estratega completa: nombre y descripción y método y parámetros configurables y precio,Estratega crea workflow en n8n (asistido),Sistema valida workflow antes de publicar,CRÍTICA,13,Sprint 8,To Do,Fase 2+ - Complejo
CS-US-5.4,Copy Strategy,Publicación de Estrategias,Configurar Parámetros Dinámicos,estratega verificado,definir qué parámetros pueden configurar los suscriptores,permitir personalización sin revelar lógica,Estratega define JSON Schema de parámetros,Preview de formulario para usuarios,Validaciones automáticas (min/max y requeridos),Parámetros se inyectan en workflow n8n,ALTA,8,Sprint 8,To Do,Fase 2+ - Técnico avanzado
KB-US-1.1,Kanban Board,Gestión de Tableros,Crear Tablero Nuevo,project manager,crear un nuevo tablero Kanban,organizar las tareas de mi equipo,Usuario hace clic en Crear Tablero,Usuario ingresa nombre y descripción,Usuario selecciona template o empieza en blanco,Tablero se crea y usuario es redirigido,ALTA,3,Sprint 1,To Do,Proyecto de referencia
KB-US-1.2,Kanban Board,Gestión de Tableros,Personalizar Columnas,team lead,personalizar las columnas del tablero,que coincidan con nuestro workflow,Usuario puede agregar columnas con nombres custom,Usuario puede arrastrar columnas para reordenar,Usuario puede establecer límites WIP,Cambios se guardan y reflejan en tiempo real,ALTA,5,Sprint 1,To Do,
KB-US-2.1,Kanban Board,Gestión de Tarjetas,Crear Tarjeta,team member,crear tarjetas de tareas,hacer seguimiento de items de trabajo,Usuario hace clic en Agregar Tarjeta en cualquier columna,Usuario ingresa título (requerido),Usuario puede agregar: descripción y etiquetas y asignados y fecha límite,Tarjeta aparece inmediatamente en la columna,ALTA,3,Sprint 2,To Do,
KB-US-2.2,Kanban Board,Gestión de Tarjetas,Mover Tarjetas entre Columnas,team member,mover tarjetas entre columnas,actualizar el estado de las tareas,Usuario puede arrastrar tarjeta de una columna a otra,Posición de tarjeta se actualiza en tiempo real para todos,Log de actividad registra el cambio,Asignado recibe notificación del cambio,ALTA,5,Sprint 2,To Do,
KB-US-2.3,Kanban Board,Gestión de Tarjetas,Agregar Checklists,developer,agregar checklists a tarjetas,descomponer tareas complejas,Usuario puede agregar checklist a tarjeta,Usuario puede agregar/eliminar items,Usuario puede marcar/desmarcar items,Porcentaje de progreso se muestra en tarjeta,MEDIA,3,Sprint 2,To Do,
KB-US-3.1,Kanban Board,Colaboración,Comentar en Tarjetas,team member,comentar en tarjetas,comunicarme con mi equipo,Usuario puede agregar comentario a tarjeta,Comentarios muestran autor y timestamp,Usuario puede mencionar otros con @usuario,Usuarios mencionados reciben notificaciones,ALTA,5,Sprint 3,To Do,
KB-US-3.2,Kanban Board,Colaboración,Invitar Miembros,board owner,invitar miembros del equipo,colaborar juntos,Usuario hace clic en Invitar Miembros,Usuario ingresa emails,Invitados reciben email de invitación,Invitados pueden aceptar y unirse,ALTA,5,Sprint 3,To Do,
KB-US-4.1,Kanban Board,Reportes,Ver Analíticas del Tablero,project manager,ver analíticas del tablero,hacer seguimiento del performance del equipo,Usuario puede acceder a dashboard de analíticas,Dashboard muestra métricas de cycle time,Dashboard muestra diagrama de flujo acumulativo,Usuario puede exportar datos como PDF o CSV,MEDIA,8,Sprint 4,To Do,
KB-US-4.2,Kanban Board,Reportes,Generar Burndown Charts,scrum master,generar gráficos burndown,hacer seguimiento del progreso del sprint,Usuario puede seleccionar rango de fechas,Gráfico muestra trabajo completado vs restante,Gráfico se actualiza diariamente automáticamente,Usuario puede descargar gráfico como imagen,MEDIA,5,Sprint 4,To Do,
GEN-US-1.1,Todos,Seguridad,Implementar Autenticación JWT,desarrollador,implementar autenticación basada en JWT,asegurar endpoints de API,Backend genera token JWT al login,Token incluye userId y role y expiración,Middleware valida token en cada request protegido,Token expira después de 24 horas,CRÍTICA,5,Sprint 1,To Do,Requisito de seguridad
GEN-US-1.2,Todos,Seguridad,Encriptar Datos Sensibles,desarrollador,encriptar datos sensibles en base de datos,proteger tokens de Meta y datos de usuarios,Access tokens de Meta se encriptan con AES-256,Passwords se hashean con bcrypt (10 rounds),Datos sensibles en JSON se encriptan,Keys de encriptación en variables de entorno,CRÍTICA,8,Sprint 1,To Do,Compliance
GEN-US-1.3,Todos,Seguridad,Implementar Rate Limiting,desarrollador,implementar rate limiting en API,prevenir abuso y ataques DDoS,Rate limiting de 100 requests/minuto por IP,Endpoints de auth: 5 intentos/minuto,Headers incluyen X-RateLimit-Remaining,Usuario recibe error 429 al exceder límite,ALTA,3,Sprint 2,To Do,Seguridad
GEN-US-2.1,Todos,Infraestructura,Setup CI/CD Pipeline,devops,configurar pipeline de CI/CD,automatizar testing y deployment,Pipeline se ejecuta en cada push a main,Tests unitarios e integración se ejecutan,Build solo se despliega si tests pasan,Notificación de éxito/fallo por email,ALTA,5,Sprint 1,To Do,DevOps
GEN-US-2.2,Todos,Infraestructura,Implementar Health Checks,devops,implementar endpoints de health check,monitorear disponibilidad de servicios,Endpoint /health retorna status 200,Endpoint verifica: DB connection y Redis connection y Meta API,Respuesta incluye timestamp y versión,Uptime monitoring llama endpoint cada 5 min,ALTA,3,Sprint 2,To Do,Observabilidad
GEN-US-2.3,Todos,Infraestructura,Configurar Logs Estructurados,desarrollador,implementar sistema de logs estructurados,facilitar debugging y monitoreo,Logs en formato JSON estructurado,Logs incluyen: timestamp y level y service y userId y traceId,Logs críticos se envían a servicio externo (Sentry),Logs se retienen por 30 días,MEDIA,5,Sprint 2,To Do,Observabilidad
GEN-US-3.1,Todos,Performance,Implementar Caching de Campañas,desarrollador,cachear datos de campañas en Redis,reducir llamadas a Meta API y mejorar velocidad,Datos de campañas se cachean por 30 minutos,Cache se invalida al cambiar datos,Backend verifica cache antes de llamar Meta API,TTL configurable por tipo de dato,ALTA,5,Sprint 2,To Do,Optimización
GEN-US-3.2,Todos,Performance,Optimizar Queries de Base de Datos,desarrollador,optimizar queries de base de datos,reducir tiempo de respuesta de API,Indexes en campos frecuentemente consultados,Queries con N+1 resueltas con eager loading,Query plan analizado con EXPLAIN,Queries lentas (>100ms) loggeadas,MEDIA,5,Sprint 3,To Do,Performance
GEN-US-4.1,Todos,Testing,Implementar Tests Unitarios,desarrollador,escribir tests unitarios para servicios críticos,asegurar calidad del código,Cobertura mínima de 80% en servicios,Tests para: auth service y meta-api service y stripe service,Tests se ejecutan antes de cada commit,CI falla si tests no pasan,ALTA,8,Sprint 2,To Do,Calidad
GEN-US-4.2,Todos,Testing,Implementar Tests E2E,qa engineer,implementar tests end-to-end,validar flujos completos de usuario,Tests con Playwright o Cypress,Flujos cubiertos: registro/login y conexión Meta y suscripción a estrategia,Tests corren en staging antes de producción,Screenshots de fallos guardados,MEDIA,13,Sprint 4,To Do,QA
GEN-US-5.1,Todos,UX/UI,Implementar Loading States,frontend developer,mostrar estados de carga apropiados,mejorar experiencia de usuario,Skeleton screens en listados,Spinners en botones de acción,Progress bars en operaciones largas,Mensajes informativos durante carga,MEDIA,3,Sprint 2,To Do,UX
GEN-US-5.2,Todos,UX/UI,Toast Notifications,frontend developer,mostrar notificaciones toast para acciones,dar feedback inmediato al usuario,Toasts para éxito y error y warning y info,Toasts se auto-cierran después de 4 segundos,Usuario puede cerrar toast manualmente,Máximo 3 toasts simultáneos,MEDIA,3,Sprint 1,To Do,UX
GEN-US-5.3,Todos,UX/UI,Responsive Design Mobile,frontend developer,que la interfaz sea responsive,soportar usuarios en dispositivos móviles,Breakpoints: mobile (<768px) y tablet (768-1024px) y desktop (>1024px),Navegación adaptativa (hamburger menu en mobile),Columnas apiladas verticalmente en mobile,Touch targets mínimo 44x44px,ALTA,8,Sprint 3,To Do,Mobile
GEN-US-6.1,Todos,Compliance,Implementar GDPR Compliance,legal/dev,cumplir con regulaciones GDPR,permitir usuarios de EU,Política de privacidad visible,Usuarios pueden solicitar sus datos,Usuarios pueden solicitar eliminación de datos,Cookies consent banner,ALTA,13,Sprint 5,To Do,Legal - Si hay usuarios EU
GEN-US-6.2,Todos,Compliance,Términos de Servicio,legal,tener términos de servicio claros,proteger legalmente la plataforma,TOS cubren: uso aceptable y limitaciones de responsabilidad y propiedad intelectual,Usuarios deben aceptar TOS al registrarse,Link a TOS en footer,Versión y fecha de actualización,CRÍTICA,5,Sprint 1,To Do,Legal - Obligatorio
